Study Program,Courses,Description
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Mechanics 3 ,mechanical virtual elastostatics unsymmetrical buckling columns
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermodynamics 1 ,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermodynamics 1 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Energy and Process Engineering,dieter bathen engineering diagramms refineries hydration cracking desulphurization separation technologies refineries destillation absorption extraction adsorption angelika heinzel technology energetic requirements refineries electricity steam heat efficienvy enregy gas steam turbine heat chp refineries stefan panglisch water global water water refinery water refining requirements water boiler water cooling water compounds refinery wastewater requirements wastewater cooling water filtration osmosis ion wastewater mechanical physical chemical biological
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Fluid Mechanics 1,fluid mechanics design machines ducts design calculation fluid fluid statics kinematics fluids streamtube incompressible fluids momentum angular momentum rheology fluids modeling viscous
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Materials Science 2,metals polymers engineering ceramics mechanical engineering engineering polymers ceramics
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Materials Science 2 Lab,complex experimental testing
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Product Design,product design vdi precise systematic structuring morphological box design design design product design
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Product Design Homework,practical learning product emboss solution designing functional manufacturing restrictions solutions design solution parametric technical drawings manual
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermodynamics 2,thermodynamics idealized technical chemical thermodynamics heat availability exergy gas gases vapors humid air thermodynamics chemical reactions combustion chemical equilibrium heat
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermodynamics 2 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Computer Based Systems,processor architectures computer processors peripheral
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Interdisciplinary Studies,technical technical
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Introduction to Mechatronics and Signal Analysis,mechatronics mechanincs mechanincal engineering electronics electrical engineering technology mechatronic design mechatronics technical dynamic mechatronic signal vibration analysis sensors actuators electromagnetic qualitymanagement mechatronics
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Measurement Science and Technology,measurement science technology prerequisites machines plants experimental rsp verification theories measurement science technology signal signal signal measurents signals statistics distribution moments errors data analysis reduction linear nonlinear regression dynamics noise thermal shot telegraph noise analog signal filter amplifier digital signal converter sensors electrical measurements resistive sensors capacitive sensors magnetic sensors sensors labcourse gas curve calibration dynamics analog signal lock amplifier signals noise digital signal conditionin dynamic light scattering correlation distribution
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Modelling and Simulation,simulation mechatronic hands technical solution differential equations differential algebraic equations numerical analytical solving linear linear equations simulation parameter optimization matlab simulink dymola
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Project Management,project project project technical specification tools project project implementation project
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Team Project,project mechatronics systemdynamics workload guidance project team interdisciplinary computer technical
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Advanced Dynamics,spatial dynamical equations euler inertia axes dynamical equations rotating solution nutation stability rotations axes solution constant precession lagrange equations vector vectors derivatives jacobian equations virtual displacements alembert orthogonality lagrange multipliers geometrical interpretation lagrange multipliers solution lagrange equations index solution baumgarte stabilization solution inverses projection coordinates lagrange equations coordinates lagrange generalization hamiltonean equations impulses kinetic lagrange equations canonical equations hamilton cyclical coordinates nonholonomic equations lagrange multipliers wheel sphere rotating
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Control Technique MB,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Production Technology,production technology optimization production technical quotation design production planning manufacturing production tool production technology simulation means tool technology analyzed
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Sensors and Actuators,sensors actuators indispensable mechatronic systematic sensors actuators physical prescription sensor technical robotics vehicle technology mechanical engineering data physical design sensors actuators sensors actuators
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Sensors and Actuators Lab,practical sensorik aktuatorik
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermal Power Machines,thermodynamic thermo fluid dynamics machines engines turbo machines dimensional hydraulic thermal turbines pumps compressors piston engines pumps compressors internal combustion engines
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Thermal Power Machines Lab,lab measurement centrifugal pump throttle curve curve radial pump measurement curve lab similarity laws lab centrifugal compressor grid measurement curve measure diesel combustion engine cyl stroke lab internal combustion engines engine bosch testing
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Vibration Analysis,vibrations linear vibrations eigenvalues eigenvectors beat phenomenon vibration absorbers vibrations structural gyroscopic modal analysis axial vibrations traversal vibrations strings bernoulli nonlinear
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Bachelor Thesis,scientific
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Bachelor Thesis Colloquium ,
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Mechanical Engineering (Mechatronics)  PO19 - B-MB(ME)-19,Internship,regulations
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Chemistry,topicsoft periodic hydrogen chemical intermolecular equations stoichiometry kinetics energetics chemical reactions metals production corrosion chemical equilibrium acid equilibria electrochemical electrolysis galvanic cells polymers production functional optical electronic magnetic mechanical synthesis chemical
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Computer Aided Calculation Tools,scientific matlab tool numeric complicated engineering sciences pc workstations matlab engineering computers teams engineering mathematics theoretically experimentally error tolerance mathematical vectors matrices vector matrix relational logical operators branching loops matlab matlab graphics computing matlab computer engineering science
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Engineering Drawing,geometry projections technical drawings drawings manufacturing drawings machine
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Introduction to Mechanical Engineering,hands lab experiments mechanical engineering labs
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mechanics 1 ,vector calculus cartesian coordinates coordinate transformation vectors wrench screw statics axioms statics equilibrium equilibrium equations spatial graphical solution equilibrium equilibrium statically cone angle rope wheel volume gravity pappus guldin statics statically internal dimensional draw sketches moments elastostatics continuum uniaxial modulus modulus poisson ratio modulus modulus poisson ratio uniaxial torsion beam bernoulli hypothesis polar moments inertia differential equation flex
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,CAD Lab,cadp parametric design practical shafts wheels gearbox technical drawing drawings lists libraries siemens
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Informatics,systematic programming engineering algorithmic procedural implementation matlab matlab tool engineering programming technique modular ipo architecture hardware software matlab operators algorithms strategy matlab toolboxes boolean algebra logical logical branching loops vectorisation visualisation graphics plots vectors polynoms matrices polynom vector matrix computing differential quotients trapezoidal codings overflow underflow machine epsilon data arrays strings cell arrays reading writing files image rgb colour memory consumption sorting gui programming
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Machine Elements 1,machine engineering iso tolerances calculation parameter static dynamic practical calculation axes shafts pivots designing calculation bolted calculation bolts screws shafts collars shaft collar shaft collar jointing shaft collar design calculation design calculation designing calculations machine tolerances parameter calculation calculation dimensioning bolted screws calculation diameter deflection axes shafts calculation dimensioning calculation
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mechanics 2,kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion graphic hodograph tachograph curve kinematics motion instantaneous herpolhode polhode spatial motion spatial rotations euler kardan angles spatial motion velocity twist kinetics linear angular momentum newton euler laws kinetics angular momentum uniaxial rotations inertia radius inertia euler uniaxial rotations spatial rotations euler differentiation motions inertia dynamical euler equations motion newton euler laws kinetics linear motion equations
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Physics M,kinematics dynamics particle motion oscillations oscillations mechanical waves dimensional mechanical waves geometrical optics geometrical optics refraction lenses wave optics electricity c voltages electric magnetic bipolar solar cell fuel cell wave particle
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Physics M Lab,experiment physics nuclear physics thermodynamics optics experiment experiment measurement faultfinding
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Assembly Design,homework multilevel shaft dimensioning calculation geometry pinion dimension creation design dimensioning calculation calculation drawings
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Electrical Engineering ,electric electric magnetic electrical voltages complex ac circuit analysis network analysis ac transformers
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Language Skills and other Key Competences,international
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Machine Elements 2,machine gears geared bevel geared gears geometry calculation capacity dimensioning design factor epicyclical transformation designing plastics plastics temperature crystallinity recycling machine designing dimensioning gears engineering calculation plastics plastics
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Materials Science 1,sciences science metals ceramics polymers correlation physical ductility corrosion resistance manufacturing weldability deformability cast irons steels heat treatments classification
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Materials Science 1 Lab,experimental testing
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Mechanics 3 ,mechanical virtual elastostatics unsymmetrical buckling columns
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Thermodynamics 1 ,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Thermodynamics 1 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Metal Physics 1,atomistic crystallographic microstructure metals experimental crystallographic defects crystallographic vacancies binary thermodynamic train practical
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Metal Physics 1 Lab,metallurgical measure analyze means testing practical experiments
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Physics Chemistry,physical gas gas laws gas kinetic gas gas laws van waals equation liquid mechanical viscosity newtonic newtonic fluids crystalline amorphous mechanical chemical thermodynamics thermodynamics heat perpetuum mobile enthalpie temperature thermodynamics entropy heat engine equations temperature chemical activity activity coefficients kinetics equations reactions temperature thumb activation arrhenius thermodynamics kinetics transitions thermodynamics transitions enthalpies enthalpies equilibria kinetiks transitions metastable catalysis transitions mixed molar parameters solutions colligative phenomena diffusion osmosis distribution equilibria thermodynamics kinetics chemical reactions thermochemistry nernst chemical reactions chemical equilibrium gibbs helmhotz equation chemical equilibrium equilibrium constant chatelier catalysis molecularity
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Testing of Materials,testing static mechanical metallic uniaxial tensile compression charpy testing mechanical metallic fracture mechanics
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Testing of Materials Lab,lab testing metallic lab tensile charpy hartness brinell vickers rockwell utrasonic testing
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Thermodynamics 2,thermodynamics idealized technical chemical thermodynamics heat availability exergy gas gases vapors humid air thermodynamics chemical reactions combustion chemical equilibrium heat
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Thermodynamics 2 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Combustion Science,combustion temperature reactions practical arange energetic combustion synthesis chemical thermodynamics chemical kinetics fluid reactive gas temperature gas reactions radical reactions complex chemical thermodynamics kinetics homogeneous heterogeneous reactions flame phenomena parameters combustion technology theoretical reactive combustion waves homogeneous premixed gases
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Iron- and Steelmaking 1,economical changes steel mining iron ores agglomeration sintering pelletizing reactions agglomeration reduction blast furnace calculate reactions blast furnace melt reduction
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Measurement Science and Technology,measurement science technology prerequisites machines plants experimental rsp verification theories measurement science technology signal signal signal measurents signals statistics distribution moments errors data analysis reduction linear nonlinear regression dynamics noise thermal shot telegraph noise analog signal filter amplifier digital signal converter sensors electrical measurements resistive sensors capacitive sensors magnetic sensors sensors labcourse gas curve calibration dynamics analog signal lock amplifier signals noise digital signal conditionin dynamic light scattering correlation distribution
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Metal Physics 2,metal physics physical metallurgical mechanisms diffusion recrystallisation atomistically evolution microstructure solidification metallic melts transformation place solutions explanation physical metals magnetism thermal electrical conductivity atomistic
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Metal Physics 2 Lab,metallurgical measure analyze means testing practical experiments
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Project Management,project project project technical specification tools project project implementation project
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Theoretical Metallurgy,gas metallurgical filterplants gas metallic crystals transformations binary iron carbon thermodynamic calculations metallurgical ternary slags steel blast furnace
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Control Technique MB,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Interdisciplinary Studies,technical technical
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Iron- and Steelmaking 2,metallurgical items blown oxygen converters deoxidise steel metallurgical injection inert gas metallic inclusions degassing treatments vacuum thermodynamics degassing reactions casting ingot casting casting segregation behaviour shrinkage
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Iron- and Steelmaking 2 Lab,practical laboratory melts iron steel production
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Production Technology,production technology optimization production technical quotation design production planning manufacturing production tool production technology simulation means tool technology analyzed
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Selection of wear and corrosion resistant materials,science production engineering wear corrosion resistant production requirements worldwide availability mechanical design michael ashby butterworth database software ashby solve computers guidance dependently
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Steel Materials,systematics steel chemical metallurgical hardening heat steels alloyed steels alloying mechanical heat steel
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Steel Materials Lab,communicated laboratory experiments scientific technological steel applicable assess correlation faults applicable
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Bachelor Thesis,scientific
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Bachelor Thesis Colloquium ,
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Mechanical Engineering (Metallurgy and Metal Processing)  PO19 - B-MB(MVA)-19,Internship,regulations
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Chemistry,topicsoft periodic hydrogen chemical intermolecular equations stoichiometry kinetics energetics chemical reactions metals production corrosion chemical equilibrium acid equilibria electrochemical electrolysis galvanic cells polymers production functional optical electronic magnetic mechanical synthesis chemical
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Computer Aided Calculation Tools,scientific matlab tool numeric complicated engineering sciences pc workstations matlab engineering computers teams engineering mathematics theoretically experimentally error tolerance mathematical vectors matrices vector matrix relational logical operators branching loops matlab matlab graphics computing matlab computer engineering science
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Engineering Drawing,geometry projections technical drawings drawings manufacturing drawings machine
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Introduction to Mechanical Engineering,hands lab experiments mechanical engineering labs
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mechanics 1 ,vector calculus cartesian coordinates coordinate transformation vectors wrench screw statics axioms statics equilibrium equilibrium equations spatial graphical solution equilibrium equilibrium statically cone angle rope wheel volume gravity pappus guldin statics statically internal dimensional draw sketches moments elastostatics continuum uniaxial modulus modulus poisson ratio modulus modulus poisson ratio uniaxial torsion beam bernoulli hypothesis polar moments inertia differential equation flex
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,CAD Lab,cadp parametric design practical shafts wheels gearbox technical drawing drawings lists libraries siemens
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Informatics,systematic programming engineering algorithmic procedural implementation matlab matlab tool engineering programming technique modular ipo architecture hardware software matlab operators algorithms strategy matlab toolboxes boolean algebra logical logical branching loops vectorisation visualisation graphics plots vectors polynoms matrices polynom vector matrix computing differential quotients trapezoidal codings overflow underflow machine epsilon data arrays strings cell arrays reading writing files image rgb colour memory consumption sorting gui programming
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Machine Elements 1,machine engineering iso tolerances calculation parameter static dynamic practical calculation axes shafts pivots designing calculation bolted calculation bolts screws shafts collars shaft collar shaft collar jointing shaft collar design calculation design calculation designing calculations machine tolerances parameter calculation calculation dimensioning bolted screws calculation diameter deflection axes shafts calculation dimensioning calculation
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mechanics 2,kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion graphic hodograph tachograph curve kinematics motion instantaneous herpolhode polhode spatial motion spatial rotations euler kardan angles spatial motion velocity twist kinetics linear angular momentum newton euler laws kinetics angular momentum uniaxial rotations inertia radius inertia euler uniaxial rotations spatial rotations euler differentiation motions inertia dynamical euler equations motion newton euler laws kinetics linear motion equations
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Physics M,kinematics dynamics particle motion oscillations oscillations mechanical waves dimensional mechanical waves geometrical optics geometrical optics refraction lenses wave optics electricity c voltages electric magnetic bipolar solar cell fuel cell wave particle
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Physics M Lab,experiment physics nuclear physics thermodynamics optics experiment experiment measurement faultfinding
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Assembly Design,homework multilevel shaft dimensioning calculation geometry pinion dimension creation design dimensioning calculation calculation drawings
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Electrical Engineering ,electric electric magnetic electrical voltages complex ac circuit analysis network analysis ac transformers
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Language Skills and other Key Competences,international
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Machine Elements 2,machine gears geared bevel geared gears geometry calculation capacity dimensioning design factor epicyclical transformation designing plastics plastics temperature crystallinity recycling machine designing dimensioning gears engineering calculation plastics plastics
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 1,sciences science metals ceramics polymers correlation physical ductility corrosion resistance manufacturing weldability deformability cast irons steels heat treatments classification
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 1 Lab,experimental testing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mathematics M3,integrals divergence operators integral gau solving differential equations linear differential equations periodic fourier solution differential equations
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Mechanics 3 ,mechanical virtual elastostatics unsymmetrical buckling columns
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 1 ,engineering thermodynamics heat thermodynamics internal thermodynamics entropy gibbs helmholtz vapour refrigeration
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 1 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Energy and Process Engineering,dieter bathen engineering diagramms refineries hydration cracking desulphurization separation technologies refineries destillation absorption extraction adsorption angelika heinzel technology energetic requirements refineries electricity steam heat efficienvy enregy gas steam turbine heat chp refineries stefan panglisch water global water water refinery water refining requirements water boiler water cooling water compounds refinery wastewater requirements wastewater cooling water filtration osmosis ion wastewater mechanical physical chemical biological
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Fluid Mechanics 1,fluid mechanics design machines ducts design calculation fluid fluid statics kinematics fluids streamtube incompressible fluids momentum angular momentum rheology fluids modeling viscous
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Manufacturing,production geometrically objects classification objects metals plastics ceramics wood divides manufacturing moulding forming separation joining coating manufacturing manufacturing manufacturing profitability products manufacturing technique production products innovative technologies protected recycling economy framework
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 2,metals polymers engineering ceramics mechanical engineering engineering polymers ceramics
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Materials Science 2 Lab,complex experimental testing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Numerics for Engineers,computer arithmetic algorithms error analysis numerical stability numerical interpolation approximation polynomial interpolation spline interpolation fourier approximation iterative solving linear vector matrix gauss sparse cholesky decomposition eigenvalue eigenvalues matrices eigenvectors matrices singular decomposition pseudoinverse matrices numerical solution nonlinear equations polynomials newton raphson secant numerical definite integrals differential equations ode equations solving stiff differential equations differential algebraic equations index dae
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Product Design,product design vdi precise systematic structuring morphological box design design design product design
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Product Design Homework,practical learning product emboss solution designing functional manufacturing restrictions solutions design solution parametric technical drawings manual
